FUNCTION,ACTIVITY,GDPR Condition for Processing,Common Law Duty of Confidence,NHS ENGLAND,,CCG,,LOCAL AUTHORITY (PUBLIC HEALTH),,LOCAL AUTHORITY (NON-PUBLIC HEALTH),,NHS PROVIDER,,NON-NHS PROVIDER (inc. charities),
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,9. Improving provider data quality ,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,"10. Comparing performance and managing variation across care professionals, services, providers, systems",,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,11. Ensuring compliance with evidence and guidance,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,12. Maximising services and outcomes within financial envelopes within and across providers,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,"13. Supporting benchmarking, comparisons, regulation and assurance at all levels of the health and care system",,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
,14. Producing regulatory compliance reports,,,1,,5,,3,,3,,,,,
,,,,5,,8,,17,,12,,,,,
,,,,6,,9,,28,,21,,,,,
,,,,9,,10,,32,,30,,,,,
,,,,10,,16,,,,,,,,,
,,,,11,,24,,,,,,,,,
"F. PLANNING, IMPLEMENTING AND EVALUATING POPULATION HEALTH STRATEGY","1. Reviewing, evaluating and transforming current health and care service provision across and within populations","Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Set aside as data will be de-identified for this purpose,1,,3,,3,,3,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT ACTIVITIES,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT ACTIVITIES,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
,2. Understanding how health and care services impact on the health of populations,,,1,,3,,3,,3,,,,,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
,3. Understanding the impact of wider determinants of health on populations,,,1,,3,,3,,3,,,,,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
,"4. Defining and identifying relevant segments and cohorts within populations driving cost, utilisation and quality challenges including: health inequality groups, preventable and existing conditions and gaps in care",,,1,,3,,3,,3,,,,,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
,"5. Comparing population groups, peers, national and international best practice",,,1,,3,,3,,3,,,,,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
,6. Designing and evaluating effective risk stratification approaches,,,1,,3,,3,,3,,,,,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
,"7. Identifying future population needs, spend, growth and drivers for change",,,1,,3,,3,,3,,,,,
,,,,5,,5,,17,,12,,,,,
,,,,9,,16,,18,,29,,,,,
,,,,10,,38,,20,,30,,,,,
,,,,11,,48,,22,,,,,,,
,,,,12,,,,23,,,,,,,
,,,,16,,,,24,,,,,,,
G. UNDERTAKING RESEARCH,1. Identifying and managing research cohorts,"Article 6 (e): Official Authority - for NHS bodies and local authorities
Article 6 (b): Legitimate Interests - for non-NHS providers and charities

AND

Article 9 (h): Management of a Health or Social Care System",Set aside as data will be de-identified for this purpose,9,,35,,35,,34,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT RESEARCH,,PROVIDER ORGANISATIONS DO NOT POSSESS THE LAWFUL BASIS TO UNDERTAKE SECONDARY PURPOSE POPULATION HEALTH MANAGEMENT RESEARCH,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,2. Generating and disseminating research reports,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,3. Targeting sites for research studies,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,4. Data-driven study planning,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,5. Conducting retrospective database studies,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,6. Combining primary and secondary data in research studies/clinical trials,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,7. Developing health care apps,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,8. Developing decision-support tools,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,9. Conducting time-critical surveillance research,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,10. Integrating additional data sources,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
,11. Conducting commercial analytics,,,9,,35,,35,,34,,,,,
,,,,17,,,,,,,,,,,
,,,,32,,,,,,,,,,,
