118 LIMITED,AFX
ANGEL AND BOWDEN,NKK
ANGEL CHIROPODY & PODIATRY (HQ),AHJ
ANGLIA COMMUNITY EYE SERVICE LTD,NX5
ANGLIAN COMMUNITY ENTERPRISE COMMUNITY INTEREST COMPANY (ACE CIC),NQ1
ANGLIAN MEDICAL MUSCULOSKELETAL,NDP
ANN PHYSIOCARE LTD,ALT
ANNE STAGG HYPNOTHERAPY,AKC
APP-MED LTD,DAV
ARCH HEALTH COMMUNITY INTEREST COMPANY,DET
"ARDEN, HEREFORDSHIRE & WORCESTERSHIRE PRIMARY EYECARE LIMITED",AF5
ARDENS LTD,ACC
ARGYLE HEALTH GROUP LIMITED,DHV
ARKANUM,NNQ
ARNOLD MEDICAL CENTRE,NCX
ARTHUR RANK HOSPICE CHARITY,ARH
ASH PHYSIOTHERAPY & SPORTS INJURY CLINIC LTD,AP0
ASHBOURNE PHYSIOTHERAPY & SPORTS INJURIES CLINIC LIMITED,ATT
ASHFORD THERAPY & REHABILITATION ALLIANCE LTD,DG2
ASPEN HEALTHCARE LIMITED,NYW
ASSISTED CONCEPTION UNIT LTD,AA6
ASSOCIATED PHYSIOTHERAPY PARTNERSHIP LTD,AR0
ASSURA BLACKPOOL LLP,NVF
ASSURA CHELMSFORD LLP,NWK
ASSURA COVENTRY LLP,NY5
ASSURA DERWENTSIDE LLP,NV9
ASSURA EAST RIDING LLP,NYT
ASSURA HAMPSHIRE,NYH
ASSURA HARTLEPOOL LLP,NY8
ASSURA KINGSTANDING,NNT
ASSURA LEEDS LLP,NWH
ASSURA LIVERPOOL LLP,NPN
ASSURA MINERVA LLP,NND
ASSURA NORTH LANCS LLP,NY4
ASSURA READING LLP,NXE
ASSURA STOCKTON LLP,NY9
ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NL7
ASSURA WANDLE LLP,NXC
ASSURA WEST LEICESTERSHIRE LLP,NXD
ASSURA WILTSHIRE LLP,NWD
ASSURA WYRE FOREST LLP,NVY
ASTON HEALTHCARE LTD,NKW
AT MEDICS LTD,AF0
ATLAS PHYSIOTHERAPY LTD,ACT
ATOS HEALTHCARE,NTJ
ATRIUM HEALTH LTD,DCD
AVENUE OSTEOPATHS,AP6
BABY WAYS COMMUNITY INTEREST COMPANY,NRG
BACK2HEALTH PARTNERSHIP,NKE
BADDOW HOSPITAL LTD,AND
BANES ENHANCED MEDICAL SERVICES + LTD,NEI
BARCHESTER HEALTHCARE LTD,DAM
BARNET COMMUNITY SERVICES,NRE
BARNSLEY HEALTHCARE FEDERATION CIC,ATY
BASFORD CONSULTING LIMITED,NX3
BATEMAN KILDARE LIMITED,NLB
BATH FERTILITY CENTRE LTD,ADL
BAXTER HEALTHCARE,NTQ
BAYWATER HEALTHCARE LTD,ADA
BB HEALTHCARE SOLUTIONS LTD,AVJ
BEACON COUNSELLING,DA6
BEACON HEALTH STRATEGIES UK LIMITED,APL
BEACON MEDICAL SERVICES GROUP LIMITED,NRP
BEACON PRIMARY CARE,NJA
BEACON PRIMARY CARE GPSI SERVICES,DGE
BEAUMOND HOUSE COMMUNITY HOSPICE,DJJ
BEEHIVE SOLUTIONS LTD,ADW
BEEZEE BODIES C.I.C,ATJ
BEGG PRACTICE,ATL
BELLA VOU,DDA
BENENDEN HOSPITAL,NWF
BERKSHIRE PRIMARY CARE LTD,ARR
BESPOKE HEALTHCARE LTD,NP9
BEST HEALTH CLINICS LIMITED,DCA
BEST PRACTICE (SOUTH OF ENGLAND) LIMITED,AT6
BESTCARE DIAGNOSTICS,DDV
BETHESDA MEDICAL CENTRE,NWM
BEXHILL LOCUM,DF6
BEXLEY HEALTH LIMITED,NP0
BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,DFJ
BEXLEYHEATH CHIROPRACTIC CLINIC LTD,NHP
BHR GP SOLUTIONS,DD5
BIG PRACTICE LIMITED,ATN
BIG WHITE WALL,NKQ
BIKUR CHOLIM LTD,DHA
BIRCHWOOD PRIVATE PHYSIOTHERAPY POOLE LTD,AX7
BIRMINGHAM MENTAL HEALTH CONSORTIUM,ALR
BISHOPS STORTFORD CHIROPRACTIC CLINIC,DJM
BLACKBERRY CLINIC,AD0
BLEMISH CLINIC,NWP
BLUE STAR MEDICAL SERVICES LTD,AEL
BLUEBIRD CARE MENDIP,DH4
BLUESKY ORTHOPAEDIC LTD,AV0
BMI HEALTHCARE,NT4
BOC LTD,NAD
BODY BALANCE,NDV
BODY LOGIC PHYSIOTHERAPY,NFD
BODYWORKS CHIROPRACTIC CLINIC LTD,NGS
BOLTON COMMUNITY PRACTICE,NRT
BOLTON GP FEDERATION LTD,AWC
BOOTS HEARINGCARE LTD,NEL
BOOTS UK LIMITED,AAA
BOSTON AREA MEDICAL SERVICES,NNX
BOSTON PHYSIOTHERAPY LTD,DAQ
BOURN HALL LTD,AY7
BOURNEMOUTH 1 DOMICILIARY SPECSAVERS (HQ),AVW
BRACKLEY HOSPITAL,NMF
BRADFORD CARE ALLIANCE CIC,DHG
BRADFORD PHYSIOTHERAPY CLINIC LTD,AQC
BRAINTREE CLINICAL SERVICES LIMITED,ADG
BREASTFEEDING NETWORK,NNN
BRENTWORTH LOCALITY LIMITED.,AKJ
BREWOOD MEDICAL SERVICES LTD,NIB
BRIDGEGATE SURGICAL SERVICES,NO1
BRIDGEND CLINIC,NNY
BRIDGEWATER HOSPITAL (MANCHESTER) LTD,NMP
BRIGHTON & HOVE WELLBEING SERVICE,NFP
BRISDOC HEALTHCARE SERVICES LTD,NBP
BRISTOL AMBULANCE EMS,DG8
BRISTOL COMMUNITY HEALTH,NLW
BRISTOL LASER VISION,ACK
BRISTOL MENTAL HEALTH,AYL
BRISTOL PLASTIC SURGERY LTD,NJX
BRISTOL UROLOGY ASSOCIATES,AQL
BRITISH COLLEGE OF OSTEOPATHIC MEDICINE,NKU
BRITISH PREGNANCY ADVISORY SERVICE (BPAS) HEAD OFFICE,NT1
BROCKLEBANK GROUP PRACTICE (HQ),AN2
BROMLEY GP ALLIANCE LTD,ATP
BROMLEY HEALTHCARE,NQV
BROMSGROVE HEALTHCARE INNOVATIONS LTD,NQ0
BROMSGROVE PHYSIOTHERAPY LTD,ADV
BROOK YOUNG PEOPLE,NQ5
BROOKDALE HEALTHCARE LTD (T/A BROOKDALE CARE),NQ9
BUCKS GP ACCESS CENTRE,DGF
BUPA CSH LTD,AJM
BUPA GROUP,NV7
BURRSWOOD HOSPITAL,NQG
BURTON AND DISTRICT MIND,DA4
BURY GP PRACTICES LIMITED,ARW
BUTTERWICK HOSPICE,DAN
B-WELL THERAPY LIMITED,AK0
C M K THERAPY,NQQ
CADMAS LTD.,AEE
CAMBIAN ANSEL CLINIC,NPA
CAMBIAN CHILDCARE LIMITED,DFL
CAMBIAN HEALTHCARE LIMITED,NTT
CAMBRIDGE PERFUSION SERVICES,NI4
CAMBS & PETERBOROUGH SERVICES,NBY
CANCER CARE,AAL
CANCER PARTNERS UK LIMITED,AHC
CAPIO UK,NT8
CAPITAL PHYSIO LIMITED,DD7
CARDIOCOM (UK) LIMITED,NBX
CARDIUM LTD,APY
CARE & CUSTODY (HEALTH) LTD,AGX
CARE + LTD,UXJ
CARE ASSURE NORTHAMPTON LTD,NFE
CARE PLUS GROUP,NL3
CARE UK,NTP
CARE UK CLINICAL SERVICES SE,NT6
CARERS CENTRE NEWCASTLE,ACF
CARERS TRUST 4ALL,DFN
CAREY THERAPY,NI2
CASP PSYCHOLOGY SERVICES,NLI
CASTLEBECK CARE TEESDALE LTD,NDQ
CASTLEMAN HEALTHCARE FEDERATION LTD,DA9
CATHEDRAL CHIROPRACTIC,NIY
CAVENDISH IMAGING LTD,AGF
CEDAR PARK HEALTHCARE,NBQ
CENTRAL DURHAM GP PROVIDERS LTD,AXR
CENTRAL LONDON HEALTHCARE LTD,NM2
CENTRAL LONDON OSTEOPATHY,NQC
CENTRAL LONDON PRIMARY CARE COUNSELLORS,ANJ
CENTRAL NOTTINGHAMSHIRE CLINICAL SERVICES LTD,NJS
CENTRAL4HARINGEY,AQ4
CENTRE FOR PSYCHOLOGY LIMITED,ANV
CENTRE FOR SIGHT LIMITED,NGT
"CHANGE, GROW, LIVE",NMS
CHANGING FACES,NMB
CHANGING MINDS PARTNERSHIPS,NRW
CHARING MEDICAL PARTNERSHIP,ACE
CHARING PRACTICE LTD,ACD
CHARTER MEDICAL SERVICES,NRQ
CHARTWELL PRIVATE HOSPITALS LTD,NYY
CHATTERBUG LTD,DJK
CHEC,NCV
CHELMER HEALTHCARE LTD,AJW
CHELMSFORD MEDICAL CENTRE,NQJ
CHELSEA MEDICAL - DR ROSE'S FAMILY PRACTICE,ARQ
CHENIES HEALTHCARE LTD,NJU
CHESHIRE PRIMARY CARE PROVIDER CIC,NAS
CHESTER LE STREET HEALTH LIMITED,DHJ
CHESTERFIELD HEALTH PROVIDER LTD,AMV
CHESWOLD PARK HOSPITAL,NRN
CHILD ACTION NORTHWEST (CANW),DA0
CHILD DYNAMIX,AV2
CHILD IN MIND LTD,DE7
CHILD PSYCHIATRY UK LTD,DAD
CHILDREN AND YOUNG PEOPLE'S HEALTH PARTNERSHIP,DEW
CHILDREN'S RESPITE CARE LTD HQ,NHN
CHILTERN VALE HEALTH (2012) LLP,NNK
CHIME SOCIAL ENTERPRISE,NX0
CHIME SOCIAL ENTERPRISE CIC,NRH
CHIRO HEALTH LIMITED,NFU
CHIROPRATIC HEALTH CENTRES LIMITED,NIQ
CHISWICK HEALTHCARE LIMITED,AKG
CHITTS HILL PHYSIOTHERAPY,NEG
CHLOE CARE LIMITED,NQN
CHOICE LIFESTYLES LTD,NAW
CHORLEY MEDICS LTD,AFD
CHRISTCHURCH GROUP,NRY
CIRCLE,NV3
CITY AND HACKNEY MIND,DH0
CITY HEALTH CARE PARTNERSHIP CIC,NNF
CITY WAY OSTEOPATHIC CLINIC,NI5
CLACTON CHIROPRACTIC CLINIC (PHYSMED LTD),NHI
CLAREMONT & ST HUGH'S HOSPITALS (HMT),NTE
CLAREMONT MEDICAL PRACTICE,DD4
CLARITY (YORKSHIRE) LIMITED,DDL
CLASSIC HOSPITALS LTD,NTH
CLATTERBRIDGE PHARMACY LTD,AQE
CLEMITSONS LTD,NER
CLINIC NINE,AWN
CLINICAL COLLECTIVE LIMITED,DCF
CLINICAL DIAGNOSTIX LTD,AH9
CLINICARE PROVIDER SERVICES LIMITED,DJC
CLINICARE PROVIDER SERVICES LIMITED,DJG
CLOSER HEALTHCARE LTD,NGV
CLOVER HEALTH LIMITED,DGG
COASTAL CLINICS,ACL
COASTAL HEALTH CARE LTD,NYP
COBALT HEALTH,AC7
COGGESHALL AND COLCHESTER CHIROPRATIC HQ,NGF
COLCHESTER OSTEOPATHIC CENTRE,NGB
COLCHESTER PHYSIOTHERAPY HQ,NFV
COLEMANS HEARING AND VISION CENTRE,ATG
COMBINE OPCO LIMITED,AX4
COMMUNITAS CLINICS,NLG
COMMUNITY COLPOSCOPY SERVICES LTD,AGJ
COMMUNITY COUNSELLING COOPERATIVE CIC,DCJ
COMMUNITY DENTAL SERVICES CIC,NRR
COMMUNITY GLAUCOMA PARTNERSHIP,NIF
COMMUNITY HEALTH AND EYECARE LIMITED,AAV
COMMUNITY HUB OPERATING CENTRE (CHOC),DFH
COMMUNITY LINKS (NORTHERN) LTD,NHV
COMMUNITY PSYCHIATRIC NURSING,AYT
COMMUNITY SPECIALIST CLINICS (CSC),NIG
COMPASS WELLBEING COMMUNITY INTEREST COMPANY,AA5
COMPLETE COMMUNITY CARE (SOLENT) LIMITED,DA7
COMPLETE SURVEYING SOLUTIONS LTD,AJ0
COMPLEX CARE HEAD OFFICE,AGM
CONCORDIA COMMUNITY OUTPATIENTS LTD,NHT
CONCORDIA HEALTH GROUP LIMITED,ADT
CONNECT PHYSICAL HEALTH,NMG
CONSULTANT EYE SURGEONS PARTNERSHIP (CANTERBURY) LLP,AER
CORE CARE LINKS LTD,APT
CORE MEDICAL SOLUTIONS LTD,AEN
CORNERSTONE MEDICAL HOLDINGS LIMITED,AHD
CORNWALL COMMUNITY ECHO SERVICE,NGY
CORNWALL HOSPICE CARE LIMITED,AQT
COSMEDICS SKIN CLINICS,DH5
COTSWOLDS SURGICAL PARTNERS LLP,DFY
COTTER LAUBIS PARTNERS,AA9
COUNSELLING IN PARTNERSHIP LTD,NGC
COUNSELLING TEAM LTD,NAF
COURTYARD CONTINUING CARE LTD,AKF
COVENTRY & RUGBY GP ALLIANCE LIMITED,APR
COVENTRY AND WARWICKSHIRE DIAGNOSTIC SERVICES LIMITED,NIS
CREATE HEALTH LIMITED,AP9
CRG MEDICAL SERVICES LTD,AVM
CROFTLANDS TRUST LIMITED,AQP
CROWN COSMA CLINIC LIMITED,NL9
CROYDON GP COLLABORATIVE LTD,DEH
CRYSTAL PALACE PHYSIO GROUP,NWC
CSH SURREY,NTV
CUMBRIA MEDICAL SERVICES,ACA
CUPRIS LTD,AC9
CUROCARE LTD HEAD OFFICE,AHQ
CYGNET HEALTH CARE LIMITED,NMJ
DACORUM HEALTHCARE PROVIDERS LTD,AWG
DANSHELL GROUP HEAD OFFICE,AG0
DANUM MEDICAL SERVICES LTD,AT8
DAUGHTERS OF THE CROSS OF LIEGE,NM5
DAVID COOK PHYSIOTHERAPY LTD,NBV
DAVID ORMEROD HEARING CENTRES LIMITED,NM3
DAYCASE UK,DEK
DEANBROOK LLP,APV
DEBBIE WATT OSTEOPATHY & ACUPUNCTURE,NI1
DEEPING OSTEOPATHS,NJI
DEERNESS PARK MEDICAL GROUP,NFI
DEFENCE MEDICAL SERVICES,DDG
DELPHI MEDICAL LTD,AKQ
DEPENDABILITY LTD,ACJ
DERBYSHIRE HEALTH UNITED LTD,NNJ
DERMAN,DH8
DERWENTSIDE HEALTHCARE LIMITED,ATC
DEVON DOCTORS LTD,NQW
DIAGNOSTIC HEALTHCARE LTD,NEM
DIAGNOSTIC WORLD LTD,NEP
DIRECT LOCAL HEALTH,NXG
DIRECT MEDICAL IMAGING LTD,NBM
DIRECT MEDICARE UK LTD,DGJ
DISC (DEVELOPING INITIATIVES SUPPORTING COMMUNITIES),AJ6
DIXON AND HALL LTD,NEV
DMC COMMUNITY OUTPATIENT SERVICES,NCN
DOLBY MEDICAL HOME RESPIRATORY CARE LTD,NCQ
DORKING HEALTHCARE LIMITED (DHC),NNE
DOROTHY HOUSE HOSPICE CARE,AXM
DORSET DIAGNOSTICS LTD,NDY
DOVER COUNSELLING CENTRE HQ,AJA
DOVER STREET DOCTORS,AEM
DR A CHAMBERS' MEDICAL PRACTICE,NRJ
DR A W BAKER - ASHWOOD ASSOCIATES,AY8
DR BIALAS PRIVATE ROOMS LONDON,DCL
DR MONK LTD,NDX
DR ROB BASKIND (PSYCHIATRIST),AY2
DRS BOREHAM AND ROWLEY,DGD
DURHAM DALES HEALTH FEDERATION,ANQ
DURNFORD DERMATOLOGY,NVL
EAGLE CARE ALTERNATIVES LTD,AWY
EALING GP LTD,ALG
EAST 17 HEALTHCARE LIMITED,NIJ
EAST COAST COMMUNITY HEALTHCARE C.I.C,NAX
EAST KENT MEDICAL SERVICES LTD,NN8
EAST KENT REHABILITATION ALLIANCE LIMITED,AR9
EAST LANCASHIRE DEAF SOCIETY,NHL
EAST LANCASHIRE MEDICAL SERVICES LTD,AC0
EAST LANCASHIRE UNION OF GPS LIMITED,DAK
EAST QUAY HEALTH LTD,AKN
EAST RIDING FERTILITY SERVICES LTD,NAJ
EAST SUSSEX OUTPATIENT SERVICES LIMITED (ESOPS),AP2
EASTBOURNE HEALTHCARE PARTNERSHIP,NRK
EASTWOOD ENDOSCOPY CENTRE,AWA
EASY IMAGING AND MRI,APP
EBOR CLINICAL SERVICES LIMITED,NXH
ECARESERVE LTD,NAB
ECHOGENICITY LIMITED,NGL
ECHOTECH LTD,NWA
EDENSGATE HYPNOTHERAPY,DAT
EDICS,NED
ELM ALLIANCE LIMITED,DEN
E-LOGICA LTD,NCK
ELYSIUM HEALTHCARE,DE8
EMIS CARE,NP2
E-NCOMPASS HEALTH LIMITED,DC4
ENDOSCOPE-I LTD,DFD
ENFIELD HEALTH PARTNERSHIP LIMITED,NAN
ENFIELD HEALTHCARE ALLIANCE LIMITED,AVG
ENFIELD ONE LIMITED,DF0
ENFIELDGP HEALTHCARE NETWORK LTD,AGW
ENGLISH INSTITUTE OF SPORT LTD,ALV
ENHANCED OPTOMETRY SERVICES LTD.,AD8
EPAU SERVICE - DEMONTFORT SURGERY,DDC
EPSOMEDICAL GROUP,NVM
EQUILIBRIUM HEALTHCARE,AHN
EREWASH HEALTH LIMITED,AXP
ESS PRIMARY CARE SOLUTIONS,NCD
ESSENZE,AXX
ESSEXULTRASOUND & MEDICAL SERVICES LTD,NUC
ESTEVE TEIJIN,NPL
EVERYONE HEALTH,ATR
EVOLUTIO CARE INNOVATIONS LTD HQ,NGU
EXCELL ULTRASOUND LTD,NGP
EXE ESTUARY HEALTH LTD,DAF
EXERCISE REFERRAL/COMMUNITY WEIGHT MANAGEMENT/MATERNITY LIFESTYLE PROGRAMME - SOUTH TYNESIDE COUNCIL,AK8
EXETER MEDICAL LTD,NQ6
EXPRESS DIAGNOSTIC IMAGING LTD,AY9
EXPRESS DIAGNOSTICS,NCL
EXTENDED MINOR SURGERY SERVICE,DG9
EYE CARE MEDICAL LTD,ACM
FAIRFIELD HOSPITAL,NVG
FAIRLEY ENT KENT,NYQ
FAIRVIEW HEALTH LTD,DHD
FAREHAM AND GOSPORT PRIMARY CARE ALLIANCE LTD,AQW
FAVERSHAM COUNSELLING SERVICE LTD,NIW
FAVERSHAM MEDICAL PRACTICE MIU,AQM
FCMS (NW) LTD,NXL
FELTHAM AND BEDFONT LOCALITY LIMITED,ALA
FERNEHAM HEALTH LIMITED,NBN
FESTIVAL MEDICAL SERVICES,AGC
FIRST CALL GP LIMITED,AY5
FIRST CHOICE HEALTH LTD,NVN
FIRST COMMUNITY HEALTH AND CARE CIC,NDJ
FIRST TRUST HOSPITAL,NN3
FITTLEWORTH MEDICAL LTD,AYM
FOCUS INDEPENDENT ADULT SOCIAL WORK C.I.C,ATX
FOOTCAB LTD,ANT
FORTIS HEALTHCARE LTD,NVQ
FORTIUS CLINIC,ACP
FOSCOTE COURT (BANBURY) TRUST LTD,AHH
FRATERDRIVE LTD,NL6
FREEDOM MEDICAL CARE,NHQ
FREEFLOW COUNSELLING SERVICE,DA1
FREEMAN CLINICS LIMITED,NMO
FRESENIUS MEDICAL CARE (UK) LTD,NTM
FRONTIERE MEDICALE EUROPE,DHP
FUSION RADIOLOGY LIMITED,DF3
FUTURE DIRECTIONS C.I.C,NJH
FUTURE PROOF HEALTH LIMITED,AP5
G HILL LTD,NJK
G4S CARE AND JUSTICE SERVICES HQ,NDD
G4S FORENSIC AND MEDICAL SERVICES,AHW
GASTRO CARE LTD,NYD
GATESHEAD COMMUNITY BASED CARE LTD,NHY
GATEWAY PRIMARY CARE CIC LIMITED,NRV
GDOC LTD,ARM
GEECOL WELLNESS LTD,NBC
GENEIX LTD,AJF
GENERAL MEDICAL CLINICS LTD (GENMED),NW7
GENERAL PRACTICE ALLIANCE LIMITED,APA
GENERATING HEALTHCARE LTD,AK5
GENIX HEALTHCARE LIMITED,NIH
GENNET HQ,NLK
GEOFFREY LLOYD FOULKES CLINIC,UJ4
GLADSTONES CLINIC LTD,DHC
GLEN CARE,AHY
GLOBAL DIAGNOSTICS,NYR
GLOBAL TRANSLATION SERVICES LIMITED,AWE
GLOUCESTER GP CONSORTIUM LTD,APM
GLOUCESTERSHIRE GP PROVIDER COMPANY LTD,NNO
GM PRIMARY EYECARE LIMITED,AFW
GOOD SKIN DAYS LTD,AHF
GP CARE SERVICES LTD,AV5
GP CARE UK LIMITED,NWV
GP HEALTH CONNECT LTD,DDY
GP HEALTH PARTNERS LTD,ATK
GP HEALTHCARE ALLIANCE LTD,AJV
GP PRIMARY CHOICE LTD,AAQ
GRAFTON MEDICAL PARTNERS (HQ),AN4
GRAPECROFT CARE HOME,NI9
GREAT GLENS FACILITY LTD,NFM
GREAT WEST ROAD HEALTHCARE LIMITED,AKH
GREATER PETERBOROUGH NETWORK LTD,AV3
GREENBANKS HOMECARE LTD,NM9
GREENBROOK HEALTHCARE,AD9
GREENBROOK HEALTHCARE,DD2
GREENWICH HEALTH LIMITED,DCX
GREYSTONE PHYSIOTHERAPY CLINIC LTD,ALL
GROSVENOR PHYSIOTHERAPY LTD,NI8
GRYPHON HEALTH LLP,NPW
GTD HEALTHCARE,NW0
GUIDEPOST LTD,DD3
GUTCARE.ORG LTD,DJ3
H M PARTNERSHIP LLP,AE4
H S PHYSIOTHERAPY LTD,NKX
H&FGPF LIMITED,AKK
HACS COUNSELLING SERVICE,NCO
HADRIAN PRIMARY CARE ALLIANCE,DJL
HAILADOC,DGN
HAKIM OSTEOPATHS LIMITED,NIP
HALTWHISTLE MEDICAL GROUP,NBJ
HAMBLETON RICHMONDSHIRE AND WHITBY GP ALLIANCE LTD,ALQ
HAND TO ELBOW CLINIC,NEJ
HARINGEY ADVISORY GROUP ON ALCOHOL (HAGA),AJ9
HARMONI,NPT
HARMONI FOR HEALTH,NR2
HARMONIC MEDICAL SONOGRAPHY LIMITED,DG7
HARNESS CARE CO-OPERATIVE LIMITED,AHV
HARRODS LTD,AX9
HARROW HEALTH CIC,NYM
HARTLEPOOL AND EAST DURHAM MIND,NFL
HARTLEPOOL AND STOCKTON HEALTH LTD,DAC
HARVEY HOUSE SOCIAL ENTERPRISE LTD,NR8
HARVEY ROAD CLINIC - GPWSI,AV8
HAVERING COMMUNITY GYNAECOLOGY SERVICE,AE7
HAVERING HEALTH LTD,AKL
HAVERING PRIMARY CARE ENT SERVICE,ADQ
HAVERSTOCK HEALTHCARE,NEH
HAWK EYE VENTURES LIMITED,ART
HAXBY GROUP,NVV
HCA INTERNATIONAL,NW6
HEADWAY DORSET,ADJ
HEADWAY LUTON LTD,DHN
HEALOGICS LTD,AAD
HEALTH 4 CRAWLEY LTD,NXA
HEALTH AND LIFESTYLE RESEARCH UNIT HQ,AQ5
HEALTH BRIDGE LIMITED,AEK
HEALTH FIRST ALW COMMUNITY INTEREST COMPANY,APN
HEALTH INTELLIGENCE LTD,DF9
HEALTHCARE AT HOME,NXJ
HEALTHCARE LOCATION,NP4
HEALTHCARE LOCATION LTD,NJN
HEALTHHARMONIE LIMITED,NO0
HEALTHSHARE LTD,NMK
HEALTHSPACE SOUTH,ADC
HEALTHSTONE MEDICAL LTD,AMY
HEALTHY LONDON PARTNERSHIP,DD9
HEARBASE LTD,NVX
HEART MEDICAL,DAG
HEART NETWORKS,NRL
HEARUS CLINICS LTD,DGP
HEATHBRIDGE PRACTICE (HQ),ANA
HEATHER HALL HYPNOTHERAPY HQ,AX1
HEM CLINICAL ULTRASOUND SERVICE LIMITED,ALH
HENDON EYECARE OPTICIANS,AXH
HERE,NWX
HEREFORD OSTEOPATHIC PRACTICE LTD,NE0
HERITAGE HEARING,NNP
HERTFORDSHIRE EYE HOSPITAL,NKS
HERTS HEALTH LTD,NW2
HERTS HEALTH RESPIRATORY,NW3
HERTS MIND NETWORK,NO4
HIDDEN HEARING LIMITED,AAT
HILLINGDON ACTION GROUP FOR ADDICTION MANAGEMENT,NQP
HILLINGDON HEALTH LIMITED,NPV
HILLINGDON MIND,AWW
HINCKLEY & BOSWORTH MEDICAL ALLIANCE LIMITED,AJQ
HOBBS REHABILITATION LIMITED,DDR
HODDESDON AND HERTFORD COUNSELLING SERVICE,NDO
HOLBEACH AND EAST ELLOE HOSPITAL TRUST,AAY
HOLT PHYSIO LTD,DJ5
HOLYWELL HEALTHCARE,NLC
HORDER HEALTHCARE,NXM
HORIZON HEALTH,NV8
HOSPITAL OF ST JOHN AND ST ELIZABETH,NMM
HOUNSLOW GP FEDERATION CIC,AQ8
HOUSE OF LIGHT POSTNATAL DEPRESSION SUPPORT GROUP,AGH
HOYLAKE COTTAGE HOSPITAL,NMA
HUDDERSFIELD MEDICAL SERVICES LTD,NL4
HULL AND EAST YORKSHIRE MIND,DDF
HUMANITAS HEALTHCARE SERVICES LIMITED,AHK
ICALL CARE LTD,AFY
ICENI HEALTHCARE LIMITED,AG1
ID MEDICAL GROUP LTD,AKE
IESO DIGITAL HEALTH LTD,AM6
IGP CARE LTD,AVC
I-HEALTH,NIA
I'M OUT OF HERE LIMITED,DJ1
IMPERIAL COLLEGE HEALTH PARTNERS,DJ8
IMPROVING HEALTH LTD,AEW
INDEPENDENT COMMUNITY CARE MANAGEMENT LTD,AGK
