FUNCTION,ACTIVITY,EXAMPLES OF DATA USE
,"8. Comparing provider quality, demand, experience and service user outcomes against contract and agreed plans","PHM analysts develop, populate and monitor PHM dashboards
PHM analysts undertake CQUIN reporting
PHM analysts evaluate Service user experience surveys
PHM analysts undertake demand, supply, outcome and experience analysis"
,9. Improving provider data quality ,"PHM analysts undertake coding audit
PHM analysts undertake data quality validation and review (e.g. validity of Service user identity and commissioner assignment)
PHM analysts evaluate and address quality of linkage"
,"10. Comparing performance and managing variation across care professionals, services, providers, systems","PHM analysts support clinical utilisation reviews
PHM analysts undertake comparative analysis of waiting times
PHM analysts undertake comparison of effectiveness of winter planning"
,11. Ensuring compliance with evidence and guidance,"PHM analysts evaluate compliance against NICE guidelines
PHM analysts compare care delivery against established evidence and best practice"
,12. Maximising services and outcomes within financial envelopes within and across providers,"PHM analysts undertake short-term forecasting and projection to manage capacity
PHM analysts undertake scenario analysis in order to manage capacity
PHM analysts undertake cost-benefit analyses within a financial planning period
PHM analysts undertake winter planning
PHM analysts undertake emergency preparedness planning"
,"13. Supporting benchmarking, comparisons, regulation and assurance at all levels of the health and care system","PHM analysts undertake benchmarking and comparative analysis
PHM analysts obtaining assurance that delegated activities within the care system are being effectively discharged
PHM analysts undertake local monitoring of CQC and NHSI metrics
PHM analysts undertake deep dive analyses following CQC inspection"
,14. Producing regulatory compliance reports,PHM analysts compile regulatory compliance report
"F. PLANNING, IMPLEMENTING AND EVALUATING POPULATION HEALTH STRATEGY","1. Reviewing, evaluating and transforming current health and care service provision across and within populations","PHM analysts undertake service and pathway impact assessments to underpin service transformation across a care system
PHM analysts support service planning and re-design (e.g. integrated care pathways, new partnerships, new technologies etc.)
PHM analysts undertake service utilisation review"
,2. Understanding how health and care services impact on the health of populations,"PHM analysts assessing improvements in service provision, Service user experience and outcomes and the cost to achieve this
PHM analysts undertake propensity matching and scoring to understand impactability of services on the health of populations"
,3. Understanding the impact of wider determinants of health on populations,"PHM analysts using wider determinants data to better understand the drivers of disease prevalence
PHM analysts using health data to better to understand and plan wider wellbeing initiatives (e.g. smoke alarm installations)"
,"4. Defining and identifying relevant segments and cohorts within populations driving cost, utilisation and quality challenges including: health inequality groups, preventable and existing conditions and gaps in care","PHM analysts segmenting whole populations to understand drivers of health inequalities
PHM analysts identifying cohorts to understand disease prevalence
PHM analysts identifying cohorts to understand gaps in care
PHM analysts identifying equity considerations and the need for care"
,"5. Comparing population groups, peers, national and international best practice","PH analysts undertaking benchmarking against other parts of the country
PHM analysts comparing cost, outcomes and experience internationally
PHM analysts comparing cost, outcomes and experience to industry best practice"
,6. Designing and evaluating effective risk stratification approaches,"PHM analysts develop new risk stratification and segmentation models
PHM analysts develop and validate prediction scores and their impact assessment
PHM analysts evaluate the effectiveness of risk stratification and segmentation approaches"
,"7. Identifying future population needs, spend, growth and drivers for change","PHM analysts use simulation models and forecasting techniques to predict change
PHM analysts forecast future health and care needs for population and population cohorts across care systems
PHM analysts identify changes in disease trends and prevalence
PH analysts identify efficiencies to can be gained from procuring services across wider footprints, from new innovations
PHM analysts undertaking strategic scenario modelling to shape future service provision"
G. UNDERTAKING RESEARCH,1. Identifying and managing research cohorts,Researchers identify and manage research cohorts
,2. Generating and disseminating research reports,Researchers generate and disseminate research reports
,3. Targeting sites for research studies,Researchers target sites for research studies
,4. Data-driven study planning,Researchers undertake data-driven study planning
,5. Conducting retrospective database studies,Researchers conduct retrospective database studies
,6. Combining primary and secondary data in research studies/clinical trials,"Researchers combine primary and secondary data in research studies
Researchers undertake natural experiments
Researchers validate prediction scores and their impact assessments"
,7. Developing health care apps,Researchers develop health apps
,8. Developing decision-support tools,Researchers develop decision-support tools
,9. Conducting time-critical surveillance research,Researchers conduct time-critical surveillance research
,10. Integrating additional data sources,Researchers integrate additional data sources
,11. Conducting commercial analytics,Researchers conduct commercial analytics
